出発地のノード番号,到着側のノード番号,ウェイの距離[m]
14194,14185,14.06
14120,14118,30.9
14118,14110,103.99
6527,14251,135.73
14251,14298,65.0
14298,14316,40.53
15552,14343,85.85
14343,14372,31.81
14114,6525,204.24
3652,7021,6.82
7021,16278,60.82
16278,16287,61.1
16287,16295,54.72
16295,16298,17.83
14735,2621,153.17
2621,14666,4.07
13696,13694,7.26
13694,13676,30.15
13676,13673,14.39
13673,13672,1.12
4035,4042,114.27
4042,4034,54.95
4034,4033,85.63
4033,14345,5.21
14345,4118,109.31
4118,14329,56.4
14329,4031,28.55
4031,1432,2.63
1432,3608,5.01
2850,20465,10.69
20465,2849,18.93
2849,20466,93.45
20466,2848,25.32
14656,14636,171.97
14451,14552,155.01
14552,14589,150.51
14589,14603,52.63
14119,6526,9.54
6526,3874,98.9
3874,14093,14.91
15626,15674,95.85
15538,15543,152.07
19999,15629,76.37
15629,15627,19.89
15627,21805,17.65
13672,13661,13.48
13661,13657,11.15
13657,13653,10.91
13653,13648,18.21
13648,13634,19.02
13634,13626,3.77
13626,13602,23.22
13602,13587,15.99
13587,13562,13.71
13562,13527,21.68
13527,13501,34.29
13501,13470,43.05
13470,13447,25.22
13447,13443,21.33
13443,13439,12.58
13439,13431,24.27
13431,13409,31.58
13409,13406,30.21
13406,13404,27.0
13404,13405,22.48
13405,13407,10.94
13407,13408,15.24
13408,13413,16.59
13413,13412,26.91
13412,13410,11.95
13410,13411,8.16
13411,13423,6.62
13423,13429,4.68
13429,13451,16.43
13451,13461,8.41
13461,13472,10.08
13472,13483,33.46
13483,13489,13.07
13489,13495,19.08
13495,13514,15.11
13514,13570,41.13
13570,13579,4.81
13579,13580,6.2
13580,13571,6.01
13571,13536,21.24
13536,13541,5.7
13541,13538,1.5
13538,13542,1.22
13542,13555,5.85
13555,13593,19.91
13593,13617,21.9
13617,13633,11.0
13633,13643,14.58
13643,13647,3.13
4286,11744,5.26
11744,16621,3.59
16621,16622,12.06
16622,16626,35.61
16626,16628,8.2
16628,16630,8.82
